country,popul,density,urban,popgrowt,brate,infmort,abrate,drate,humandev,calories,doctors,rich10,unemploy,energy,workag,workind,workoth,cars,greenhs,phones,literacy,tvs,news,univers,go5th,fempower,singmom,turnout,multcult,democrac,polint,relgous,homicide,racism,antigay,trust,exmar,gaysex,suicide,suicok,aids,happy,famimp,kidobey
"AFGHANISTAN",24792,99,,4.48,42.72,146.7,,17.78,,,,,8,3.2,,,,,.29,29,315,90.77,110,,13,,,,66,1,,,,,,,,,,,0,,,
"ALBANIA",3331,315,37,1.36,21.68,47.1,,7.53,.656,2657,1410,,13,32.99,,,,,1.91,42,,975.46,540,,92,,,63.4,9,5,,,,,,,,,,,,,,
"ALGERIA",30481,33,56,2.18,28.01,47.1,,5.76,.746,2586,830,,28,161.68,,,,54.74,2.16,1176,616,770.66,460,,92,.241,,74.1,43,1,,,,,,,,,,,.2,,,
"ANGOLA",10865,23,31,3.06,44.11,135.7,,17.24,.344,2141,,,,9.08,,,,,.51,60,,73.73,110,.69,34,,,88.3,78,1,,,,,,,,,,,1,,,
"ARGENTINA",36265,34,88,1.3,20.01,19.4,,7.66,.888,3308,2680,35.2,17.3,220.67,,,,133.76,3.55,5532,962,2179.47,1380,30.57,,,58,79.8,31,6,30,73,,3,39,23,70,60,6.8,82,5.9,33,91,32
"ARMENIA",3422,297,69,.09,17,38.7,,7.82,.674,,3120,,7.4,65.46,,,,,,583,996,,230,,,,,50.6,10,5,,,7.16,,,,,,,,.2,,,
"AUSTRALIA",18613,6,85,.96,13.73,5.4,,6.89,.932,3055,,27,8.5,778.62,5.0999914,22.25,72.649911,477.28,15.1,9200,,4879,2580,54.46,99,.664,,82.5,31,7,,,1.93,,,,,,12.3,,3.1,,,
"AUSTRIA",8134,255,64,.36,10.92,6.1,,10.37,.933,3575,3270,28.7,6.2,425.32,7.2199864,31.529963,61.25,444.34,7.8,3749,,4715.23,4720,28.39,97,.686,39,78.6,13,7,54,81,3.06,8,43,32,51,49,23.1,48,1.6,30,86,25
"AZERBAIJAN",7856,235,56,.75,21.95,73.9,,8.63,.623,,3900,,1.1,227.26,37.809946,,,,,583,996,,280,17.19,,,,82.5,77,2,,,,,,,,,,,0,,,
"BAHAMAS",280,72,86,1.41,21.47,19.6,,5.45,.893,,1410,32.1,15,301.49,,,,250,,,982,2310.61,1290,,100,.649,,66.7,48,7,,,,,,,,,1.9,,133.6,,,
"BAHRAIN",616,2579,90,2.18,23.01,16.4,,3.27,.872,,110,,15,1713.89,,,,,,141,852,4206.77,1280,,99,,,32.6,37,2,,,.99,,,,,,2.5,,.9,,,
"BANGLADESH",127567,2467,18,1.82,29.8,100,,10.9,.371,1837,180,29.5,35.9,9.85,,,,.42,.15,287,381,57.78,60,,47,.305,,64.6,5,6,,,,,,,,,,,,,,
"BARBADOS",259,1560,47,.28,15.15,18.2,,8.14,.909,,1130,,16.2,172.87,4.5499877,,,,,90,974,2840.47,1590,27.34,80,.607,,66,22,7,,,,,,,,,4.7,,49.4,,,
"BELARUS",10409,130,71,.26,12.68,12.6,,13.47,.783,,3790,,3.1,310.11,,,,,,1968,995,2214.09,1870,,99,,47,63,,4,,41,,17,79,26,42,80,,60,,6,77,23
"BELGIUM",10175,872,97,.32,12.01,6.3,,10.31,.933,3639,3650,21.5,14,685.21,2.5299988,26.75,70.719963,421.35,10.22,4632,,4515.78,3210,,,.6,32,83.2,55,7,29,68,,17,24,33,50,41,22.3,51,1.5,40,84,36
"BELIZE",230,26,47,2.42,31.91,33.2,,5.61,.807,,470,,15,94.39,22.579963,,,,1.36,29,,1674.64,,,,.471,,68.7,50,7,,,,,,,,,,,17.2,,,
"BENIN",6101,143,38,3.31,46.28,102.7,,13.14,.378,2174,60,39,,4.45,,,,,.11,28,370,54.29,,2.13,49,,,73.7,62,6,,,,,,,,,,,9,,,
"BHUTAN",1908,105,6,2.3,37.91,114,,14.94,.347,,200,,,5.9,,,,,.07,5,422,,,,24,,,,85,1,,,,,,,,,,,,,,
"BOLIVIA",7826,19,61,2.04,32.14,65.7,,10.18,.593,2082,510,,18.8,58.41,1.8,28.719963,69.47999,,.81,348,831,1138.57,690,,60,.393,,62.3,90,6,,,,,,,,,,,.4,,,
"BOSNIA",3366,170,,-.83,6.38,36.3,,14.64,,,,,70,32.02,,,,,,238,,,1310,,,,,82.8,76,2,,,,,,,,,,,,,,
"BOTSWANA",1448,6,60,1.48,32.65,54.9,,17.9,.678,2352,,42,21,,,,,22.19,1.69,60,698,174.04,240,,84,.457,,44.6,51,6,,,11.69,,,,,,,,98.7,,,
"BRAZIL",169807,52,78,1.1,20.43,53.4,,9.42,.809,2578,1340,48.3,5.2,88.88,27.419993,20.689951,51.889889,,1.43,12083,833,2065.4,450,10.33,70,.374,51,76.8,60,6,46,88,,5,30,7,63,70,3,89,10,21,91,41
"BRUNEI",315,155,69,2.5,25.2,23.8,,5.13,.889,,,,4.8,1739.38,,,,,,68,882,2385.96,710,,100,,,,47,1,,,,,,,,,1.4,,.7,,,
"BULGARIA",8240,193,68,.47,8.42,15.4,1072,13.51,.789,3619,3330,22.5,12.5,369.15,,,,,6.3,2563,983,3787.88,2090,26.4,82,.462,47,81,22,6,73,36,4.09,39,68,30,46,80,16.5,66,.1,7,76,19
"BURKINA FASO",11266,107,16,2.45,46.43,116.6,,20.33,.219,2010,,,,4.53,,,,,.07,30,192,54.5,3,.92,23,.339,,26.7,68,3,,,,,,,,,,,9.2,,,
"BURUNDI",5537,559,8,2.11,42.33,100.5,,15.12,.241,2353,60,,,2.21,,,,,.04,17,,15.8,30,.73,53,,,75.4,49,2,,,,,,,,,,,8.8,,,
"CAMBODIA",11340,166,20,2.72,42.63,106,,15.39,.422,,580,,,2.35,,,,,.04,5,,78.35,,1.18,,,,88.8,30,4,,,,,,,,,,,2.9,,,
"CAMEROON",15029,83,45,2.86,42.22,77.6,,13.64,.481,2295,70,,,13.84,,,,,.15,60,634,230.51,40,,66,.268,,44.4,89,2,,,,,,,,,,,10.9,,,
"CANADA",30675,9,77,1.13,12.4,5.7,165,7.23,.96,3340,2210,30.1,9.7,1082.71,4.0999914,21.889963,74.009775,,15.21,17457,988,6825.58,1890,69.53,97,.72,38,56.2,75,7,58,71,5.87,5,30,52,53,37,12.6,52,2.7,30,92,28
"CAPE VERDE",400,257,54,1.54,35.45,49.6,,7.3,.591,2704,290,,,14.17,,,,,,22,716,26.67,,,,.424,,79.5,50,7,,,,,,,,,,,8.9,,,
"CENTRAL AFRICAN REPUBLIC",3376,14,39,2.01,39.52,110.2,,17.94,.347,2117,60,,,3.86,,,,2.83,.07,8,,51.33,10,,44,.205,,,69,5,,,,,,,,,,,61.1,,,
"CHAD",7360,15,22,2.67,43.85,118.7,,17.15,.318,1762,20,30,,.69,,,,,.04,5,481,13.66,4,,27,,,45.1,83,2,,,,,,,,,,,19,,,
"CHILE",14788,51,84,1.18,17.53,13.2,10,5.68,.893,2759,1080,34.8,6.5,154.57,15.699991,25.509958,58.789926,72.23,2.42,1885,952,2114.29,1000,,93,.416,60,81.9,14,6,37,77,3.04,11,58,23,60,77,5.3,81,2.2,33,86,52
"CHINA",1236915,343,30,.93,16.52,37.9,,6.87,.65,2426,1150,37.7,3,97.28,56.399911,17.069956,26.529963,,2.2,40706,815,1912.57,230,3.82,88,.483,7,,12,1,62,6,2.04,13,74,60,72,92,1.7,54,,29,62,
"COLOMBIA",38581,96,73,1.61,20.78,24.7,,4.62,.85,2494,1050,43.5,11.5,88.21,1.3999975,30.209963,68.389889,,1.76,3873,913,1140.73,640,16.48,59,.47,,29.2,6,5,,,,,,,,,2.9,,2.9,,,
"COMOROS",546,651,30,3.09,40.75,87.4,,9.96,.411,2219,100,,,6.64,,,,,,5,573,0,,,58,,,65,60,4,,,,,,,,,,,,,,
"CONGO, DEM. REPUBLIC",49000.521,56,29,2.34,47.66,105.7,,16.61,.383,2130,,,,3.27,,,,,.11,36,773,14.55,30,,50,.183,,,91,1,,,,,,,,,,,,,,
"CONGO, REPUBLIC",2658,20,58,2.15,38.79,106.1,,17.3,.519,2433,270,43.5,,31.84,,,,,.88,21,749,74.17,80,,53,,,75.3,85,4,,,,,,,,,,,,,,
"COSTA RICA",3605,184,49,2,23.35,13.3,,4.15,.889,2653,1260,39.8,5.5,96.99,21.579963,23.029963,55.389889,75.2,1.06,557,947,1431.15,990,,88,.503,,84.2,7,7,,,14.93,,,,,,5.2,,5.5,,,
"COTE d'IVOIRE",15446,126,43,2.35,42.43,99.7,,17.11,.368,2613,,43.7,,23.56,,,,,.51,116,401,598.65,70,,54,,,39.9,86,2,,,,,,,,,,,40.7,,,
"CROATIA",4672,214,56,.33,9.8,10,,11.33,.759,,2010,,13,200.19,,,,151.24,,1287,976,2409.49,5750,17.36,88,,,72.2,73,4,,,,,,,,,,,.4,,,
"CUBA",11051,258,76,.42,13.21,8.9,708,7.42,.729,,5180,,,118.26,,,,,3.22,353,957,1724.14,1200,13,95,.523,,,4,1,,,,,,,,,,,.9,,,
"CYPRUS",749,210,54,1.08,15.04,8.2,,7.58,.913,,2310,,2.3,295.77,10.879984,,,298.77,,347,,3232.46,,11,84,.379,,75.9,35,7,,,1.71,,,,,,,,.5,,,
"CZECH REPUBLIC",10286,212,65,-.02,10.54,8.3,528,10.93,.884,,2930,21.2,3.3,492.83,,,,295.83,12.2,2444,,4761.44,2190,15.97,98,.527,25,77.6,2,7,75,33,,28,52,32,26,25,17.8,,.2,6,86,24
